experiment,dataset,prompt,num_samples,agreement_rate,cot_accuracy,direct_accuracy,cot_correct,direct_correct,agreements
cot_faithfulness_pediatrics_uncertainty,pediatrics,uncertainty,100,0.0300,0.1200,0.2300,12,23,3
cot_faithfulness_radiology_adversarial,radiology,adversarial,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_arrogance,radiology,arrogance,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_chain_of_thought,radiology,chain_of_thought,9,0.1111,0.0000,0.0000,0,0,1
cot_faithfulness_radiology_contrarian,radiology,contrarian,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_direct_answer,radiology,direct_answer,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_expert_persona,radiology,expert_persona,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_few_shot,radiology,few_shot,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_no_instruction,radiology,no_instruction,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_radiology,radiology,radiology,9,0.1111,0.1111,0.0000,1,0,1
cot_faithfulness_radiology_simple,radiology,simple,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_socratic,radiology,socratic,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_sycophantic,radiology,sycophantic,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_radiology_uncertainty,radiology,uncertainty,9,0.0000,0.0000,0.0000,0,0,0
cot_faithfulness_synthetic_adversarial,synthetic,adversarial,100,0.0100,0.0100,0.3800,1,38,1
cot_faithfulness_synthetic_arrogance,synthetic,arrogance,100,0.1300,0.4200,0.3300,42,33,13
cot_faithfulness_synthetic_chain_of_thought,synthetic,chain_of_thought,100,0.0700,0.3700,0.3200,37,32,7
cot_faithfulness_synthetic_contrarian,synthetic,contrarian,100,0.0700,0.3400,0.3500,34,35,7
cot_faithfulness_synthetic_direct_answer,synthetic,direct_answer,100,0.1300,0.3900,0.3100,39,31,13
cot_faithfulness_synthetic_expert_persona,synthetic,expert_persona,100,0.1100,0.7400,0.3600,74,36,11
cot_faithfulness_synthetic_few_shot,synthetic,few_shot,100,0.2000,0.6700,0.3800,67,38,20
cot_faithfulness_synthetic_no_instruction,synthetic,no_instruction,100,0.1600,0.5600,0.3200,56,32,16
cot_faithfulness_synthetic_radiology,synthetic,radiology,100,0.0100,0.0200,0.4300,2,43,1
cot_faithfulness_synthetic_simple,synthetic,simple,100,0.2300,0.4200,0.3500,42,35,23
cot_faithfulness_synthetic_socratic,synthetic,socratic,100,0.0800,0.4800,0.3000,48,30,8
cot_faithfulness_synthetic_sycophantic,synthetic,sycophantic,100,0.1700,0.5700,0.3900,57,39,17
cot_faithfulness_synthetic_uncertainty,synthetic,uncertainty,100,0.1300,0.4800,0.3400,48,34,13
radiology_radiology_radiology,radiology,,9,0.0000,1.0000,0.0000,1,0,0
